id,name,tagline,desc,website,category,thumbnail,votes,comments,createdAt,launchedAt
373287,Polar Habits,Guilt-free habit tracking,"Habit streaks suck! They help you get going, but miss a day, and it's all over. Zero. Brutal. Polar Habits is the only habit tracker with no streaks, no guilt, and a momentum system to help you cherish those bumps, bounce back, and keep moving forward!",https://polarhabits.com,"Productivity,Quantified Self,Health",https://ph-files.imgix.net/599dd794-790d-46e2-a19c-b7bc1e59c983.gif?auto=format,446,75,2023-01-01T08:06:31Z,2023-01-01T08:06:31Z
373085,Everyday 3.0,The visual habit tracker,"""Every day, it gets a little easier. But you gotta do it every day, that's the hard part"". Everyday is a simple and beautiful habit tracker to help you form good habits, visualize your progress and reach your goals. For Web, iOS, macOS, watchOS and Android.",https://everyday.app,"iOS,Health & Fitness,Productivity",https://ph-files.imgix.net/018f09e6-8c1a-47a4-a14e-bb02f329d62b.png?auto=format,421,71,2023-01-01T08:01:00Z,2023-01-01T08:01:00Z
373291,100+ AI Prompts,"A collection of ChatGPT, MidJourney, Dalle2 prompts","This public Trello board is a list of 100+ AI Prompts and resources to help you get started with prompt engineering for your next product! It contains comprehensive information and prompts for AI tools like ChatGPT, MidJourney, Stable Diffusion, and DALL-E.",https://trello.com,"Developer Tools,Artificial Intelligence,Tech",https://ph-files.imgix.net/47b03600-bde9-4128-b258-478f9c4de35c.png?auto=format,219,26,2023-01-01T08:10:43Z,2023-01-01T08:10:43Z
372464,AI HELPERS: Create your own AI,"More than a generator, it can be who you want it to be","The AI Helpers community helps you design your own bots by researching the features that should be included in a featured bot for each specific industry. Each bot can be customized to truly enable you to become your own boss, no matter who you are!",https://agilabs.org,"Productivity,Artificial Intelligence,Bots",https://ph-files.imgix.net/bba9d8e8-9ab2-4fe1-b819-7966eb40c03f.png?auto=format,135,26,2023-01-01T08:01:00Z,2023-01-01T08:01:00Z
373263,Cover Letter AI,The ultimate tool for crafting the perfect cover letter,"Introducing Cover Letter AI, the ultimate tool for crafting the perfect cover letter using modern large language models, our AI-powered tool helps you write professional and personalized cover letters in just minutes.",https://coverletter-ai.com,"Productivity,Artificial Intelligence",https://ph-files.imgix.net/7e232e9e-b533-4127-9db2-dbac5789bd61.png?auto=format,119,22,2023-01-01T08:25:23Z,2023-01-01T08:25:23Z
373311,Alphaday - Crypto Dashboard Tool,Everything Crypto. All in one place.,Alphaday is the ultimate crypto dashboard for staying up to date with all things crypto and interacting with your favorite DApps. It is built on a highly customizable platform that lets you re-create your entire crypto workflow within minutes so you never have to visit another crypto website ever again.,https://app.alphaday.com,"Crypto,Tech,Cryptocurrency",https://ph-files.imgix.net/52ff62bb-860a-431c-9a2b-6d5d75990894.png?auto=format,92,0,2023-01-01T14:18:04Z,
373264,Life of Discipline,Track habits with calendar heat maps and a habit journal,A habit tracker inspired by Github's contribution calendar and a built-in habit journal. Create calendar heat maps to track any habits you'd like to build in 2023!,https://www.lifeofdiscipline.com,"Productivity,Writing,Lifestyle",https://ph-files.imgix.net/20af3c9e-247d-40d4-a88f-10a2ddfbb089.png?auto=format,82,8,2023-01-01T08:14:51Z,2023-01-01T08:14:51Z
373265,Ntropy Recurring Spend API,Help your customers manage their recurring expenses,Our Recurring Spend Management API is a new release on top of Ntropy transaction categorization core. It allows your customers to easily identify recurring expenses and price changes and stay on top of their finances in real time.,https://recurring-spend.ntropy.com,"Fintech,Developer Tools,Money",https://ph-files.imgix.net/4593c32a-8649-4ee8-8f74-a6624ee12918.png?auto=format,78,16,2023-01-01T08:01:00Z,
373303,Proust,Transcribe YouTube videos like a pro,"Transcribe, translate, and edit YouTube video transcripts with ease with Proust. Unlock the power of video content and transform transcripts into actionable insights. Your go-to tool for transcript analysis.",https://proust.app,"Text Editors,Tech",https://ph-files.imgix.net/9206464a-327c-47de-9c3a-9a995c22d376.png?auto=format,75,11,2023-01-01T11:51:13Z,2023-01-01T11:51:13Z
373305,Bookmarker.me BETA,Minimalistic bookmark manager,Bookmarker is a clean and minimalistic bookmark manager that works on any device and at any size. Bookmarker is designed for people who use different devices on different systems. Bookmarker helps you focus on your bookmarks and manage them easily.,https://bookmarker.me,Productivity,https://ph-files.imgix.net/76a84a02-e9b5-407e-9b91-5c7a530b216d.png?auto=format,68,16,2023-01-01T14:23:30Z,2023-01-01T14:23:30Z
